"","Constituency_Name","V1"
"516","BAHARAMPUR",2.49267325316089
"517","MURSHIDABAD",2.39654175853681
"518","KRISHNANAGAR",2.45385137829999
"519","RANAGHAT",2.26085301859377
"520","BANGAON",2.35203181903443
"521","BARRACKPORE",2.81521446960975
"522","DUM DUM",2.57742174325258
"523","BARASAT",2.39544233443857
"524","BASIRHAT",2.43111211891082
"525","JOYNAGAR",2.48423005311491
"526","MATHURAPUR",2.43406939215535
"527","DIAMOND HARBOUR",2.32905289109809
"528","JADAVPUR",2.27091654937565
"529","KOLKATA DAKSHIN",2.1502489770343
"530","KOLKATA UTTAR",2.52708780077895
"531","HOWRAH",2.40768613891844
"532","ULUBERIA",2.5015366221373
"533","SRERAMPUR",2.23135542394944
"534","HOOGHLY",2.22313658175679
"535","ARAMBAGH",2.26446407001718
"536","TAMLUK",2.37272969534589
"537","TAMLUK(GEN), DISTRICT, PURBA MEDINIPUR",2.37272969534589
"538","KANTHI",2.43141714791041
"539","GHATAL",2.25012775622808
"540","JHARGRAM",2.45663108970709
"541","MEDINIPUR",2.41639744130887
"542","PURULIA",2.46193678652493
"543","BANKURA",2.40974669706054
"544","BISHNUPUR",2.47034843730508
"545","BARDHAMAN PURBA",2.36503194008265
"546","BURDWAN - DURGAPUR",2.28848591249104
"547","ASANSOL",2.4657041921937
"548","BOLPUR",2.35553596837277
"549","BIRBHUM",2.42380620819229
